movie_title,movie_info,critics_consensus,rating,genre,directors,writers,cast,in_theaters_date,on_streaming_date,runtime_in_minutes,studio_name,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating,audience_count
Independent Lens,"Multinational coffee companies now rule our shopping malls and supermarkets and dominate the industry worth over $80 billion, making coffee the most valuable trading commodity in the world after oil. But while we continue to pay for our lattes and cappuccinos, the price paid to coffee farmers remains so low that many have been forced to abandon their coffee fields. Nowhere is this paradox more evident than in Ethiopia, the birthplace of coffee. Tadesse Meskela is one man on a mission to save his 74,000 struggling coffee farmers from bankruptcy. As his farmers strive to harvest some of the highest quality coffee beans on the international market, Tadesse travels the world in an attempt to find buyers willing to pay a fair price. Against the backdrop of Tadesse's journey to London and Seattle, the enormous power of the multinational players that dominate the world's coffee trade becomes apparent. New York commodity traders, the international coffee exchanges, and the double dealings of trade ministers at the World Trade Organization reveal the many challenges Tadesse faces in his quest for a long term solution for his farmers.",Black Gold is an eye-opening account of the winners and losers in the global coffee trade.,NR,"Documentary, Special Interest","Mark Francis, Marc Francis, Nick Francis",,"Terrence Howard, Tadesse Meskela, Dr. Ernesto Illy",2006-10-06,2010-04-27,77,California Newsreel,Certified Fresh,84,50,84,1854
All the King's Men,"Based on the Pulitzer Prize-winning novel by Robert Penn Warren, All the King's Men is a roman à clef inspired by the career of Louisiana governor Huey Long. Broderick Crawford won an Academy Award for his portrayal of Willie Stark, a backwoods Southern lawyer who wins the hearts of his constituents by bucking the corrupt state government. Journalist Jack Burden (John Ireland) is impressed by Willie's seeming sincerity, and aids Stark on the road to political power. Once he's reached the governor's mansion, however, Willie proves himself to be as dishonest and despotic as the crooks whom he's replaced. He also cheats shamelessly on his wife with both his campaign manager (Mercedes McCambridge, another Oscar winner) and with Anne Stanton (Joanne Dru), the sister of idealistic doctor Adam Stanton (Sheppard Strudwick). Fiercely protective of his power, Willie organizes a fascistic police force and arranges for ""accidents"" to befall those who oppose him; even so, he retains the love of the voters by lowering the poverty level, improving the school system, and financing building projects. Even when Willie all but orchestrates the suicide of Anne's uncle, a highly respected judge (Raymond Greenleaf), those closest to him are unable to escape his power and the charismatic hold he has over people. Stockton, CA, stands in for the unnamed state capitol where most of the film's action occurs. In addition to its Oscars for Crawford and McCambridge, All the King's Men won the Best Picture prize. Warren's novel would later be adapted into a stage play, a TV special, and even an opera.",Broderick Crawford is spellbinding as politician Willie Stark in director Robert Rossen's adaptation of the Robert Penn Warren novel about the corrosive effects of power on the human soul.,PG,"Classics, Drama",Robert Rossen,"Robert Rossen, Robert Penn Warren","Broderick Crawford, Mercedes McCambridge, John Derek, Joanne Dru, John Ireland, Shepperd Strudwick, Ralph Dumke, Anne Seymour, Katherine Warren, Raymond Greenleaf, Walter Burke, Will Wright, Grandon Rhodes, H.C. Miller, Richard Hale, William Bruce, A.C. Tillman, Houseley Stevenson Sr., Truett Myers, Phil Tully, Helene Stanley, Judd Holdren, King Donovan, Paul Ford, Ted French, Louis Mason, Paul Maxey, John 'Skins' Miller, Pat O'Malley, Frank Wilcox",1949-11-08,2001-06-05,109,Sony Pictures Home Entertainment,Fresh,97,35,78,4844
Street Fight,"""Street Fight"" chronicles the bare-knuckles race for Mayor of Newark, N.J. between Cory Booker, a 32-year-old Rhodes Scholar/Yale Law School grad, and Sharpe James, the four-term incumbent and undisputed champion of New Jersey politics. Fought in Newark's neighborhoods and housing projects, the battle pits Booker against an old style political machine that uses any means necessary to crush its opponents: city workers who do not support the mayor are demoted; ""disloyal"" businesses are targeted by code enforcement; a campaigner is detained and accused of terrorism; and disks of voter data are burglarized in the night. ""Street Fight"" tells a gripping story of the underbelly of democracy where elections are not about spin-doctors, media consultants, or photo ops. In Newark, we discover, elections are won and lost in the streets.","Street Fight takes an immersive ground-level look at a pivotal political race that proves illuminating, entertaining, and inspiring in equal measure.",NR,"Documentary, Special Interest",Marshall Curry,Marshall Curry,"Sharpe James, Pablo Fonseca, Rich McGrath, Al Sharpton, Jesse Jackson",2005-01-01,2007-01-09,86,Marshall Curry Productions,Fresh,100,22,93,2988
The Motel,"Writer-director Michael Kang makes his feature debut with the coming-of-age comedy, The Motel. Newcomer Jeffrey Chyau stars as Ernest Chin, a chubby 13 year-old Chinese-American boy whose mother (Jade Wu) runs a sleazy motel in upstate New York. The clientele of The Motel are predominantly prostitutes and their johns, which spurs Ernest's budding sexual curiosity. When he's not cleaning rooms, eavesdropping on guests, avoiding the local bully, or tormenting his little sister Katie (Alexis Chin), Ernest harbors a crush on Christine (Samantha Futerman), who works at a nearby Chinese restaurant. Ernest has entered a writing contest at school with a story about his unhappy life at The Motel, and won an honorable mention. His scornful mother thinks his writing is a waste of time, and Ernest doesn't want her to see the story for fear that it will anger her. He's a social misfit, so he's intrigued when Sam Kim (Sung Kang of Better Luck Tomorrow), a Korean-American guest who frequently brings home prostitutes, befriends him. Sam takes Ernest under his wing, teaching him to drive and offering him his wisdom regarding women. Of course, Sam turns out to have his own serious issues with the opposite sex, and his advice to Ernest about Christine may not be exactly what the boy needs. Kang won the Asian American International Film Festival screenwriting competition with his script for The Motel in 2001, and the completed film was shown at the festival in 2005. The script was workshopped at the Sundance labs, where filmmaker Miguel Arteta (The Good Girl) signed on as a producer.","A coming-of-age dramedy whose familiar outline is filled in with rewarding empathy and character detail, The Motel marks an impressive feature debut for writer-director Michael Kang.",NR,"Comedy, Drama",Michael Kang,Michael Kang,"Jeffrey Chyau, Sung Kang, Jade Wu, Samantha Futerman, Alexis Chang, Stephen Chen, Conor J. White, Clint Jordan, Jackson Budinger, Eleanor Hutchins, Ron Domingo, Jackie Nova, Jake Holbrook, Ian Boyd, Glen Brackenridge, Cheryl Campbell, Douglas Bell, Alia Raza, Melanie Sands, Olivia Kim, Albert Bramante, Fausat Lawal, Grace Lamb, David Keller, Zeke Hawkins, Heather White, Matthew Mooney, Matthew Schimkowitz",2005-06-28,2007-01-30,76,Palm Pictures,Fresh,87,31,64,4038
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,"While professional soccer is still struggling to find a firm foothold in the United States, in the 1970s the North American Soccer League marked the brave first attempt to introduce the game to American sports fans. While most teams had only limited success at best, one did manage to break through to genuine mainstream popularity -- the New York Cosmos. The brainchild of Steve Ross (a passionate soccer fan who was also a major executive at Warner Communications) and Ahmet Ertegun and Nesuhi Ertegun (the founders of Atlantic Records), the Cosmos got off to a rocky start in 1971 (no one was especially happy with the playing field at Randall's Island, and some rowdy fans were known to throw broken glass onto the grass), but things changed in 1975 when the world's most celebrated soccer star, the Brazilian champion Pele, signed with the Cosmos for a five-million-dollar payday. With the arrival of Pele, the Cosmos became a hit with both fans and the media, and the players became the toast of the town, earning their own private table at Studio 54. A number of other international soccer stars were soon lured to the Cosmos, including Franz Beckenbauer, Rodney Marsh, and Carlos Alberto, but with the turn of the decade, the team began losing favor with fans and folded in 1985. Once in a Lifetime: The Extraordinary Story of the New York Cosmos is a documentary by Paul Crowder and John Dower that looks at the team's remarkable history and includes interviews with many of the Cosmos' star players (with the notable exception of Pele, who declined to participate).","You don't have to be a soccer fan to enjoy this stylish, breezy slice of 1970s sports history.",PG-13,"Documentary, Sports & Fitness","Paul Crowder, John Dower","Mark Monroe, John Dower","Johann Cruyff, Franz Beckenbauer, Werner Roth, Ahmet Ertegun, Phil Woodnam, Giorgio Chinaglia, Raphael de la Serra, Shep Messing, Mark Ross, David Hirshey, Johan Cruyff, Carlos Alberto, Pepe Pinton, Matt Dillon, Clive Toye, Jay Emmett, New York Cosmos, Nesuhi Ertegun, Steve Hunt, Pelé",2006-05-18,2006-10-03,97,Miramax,Certified Fresh,81,59,80,1416
Requiem,"In a small town in 1970's southern Germany, Michaela, 21, has grown up in a deeply religious family. Despite her long battle with epilepsy, Michaela burns to leave home and study at the university. There, she experiences her first taste of freedom, her budding love for Stefan and her friendship with Hanna. Slowly, her protective shell of faith and family starts to crack open, but it results in her having a breakdown. Not a normal epileptic attack, but a frightening onrush of grotesque faces and voices. Afraid of being sent back home to her family, Michaela seeks help from a priest who reinforces her conviction that she is possessed. Although Stefan and Hanna encourage her to seek psychiatric help, they are unable to break through the dense religious and moral ties binding Michaela to her family.","This harrowing, naturalistic drama holds you in its grip through Huller's intense performance.",NR,"Art House & International, Drama, Horror, Mystery & Suspense",Hans-Christian Schmid,Bernd Lange,"Sandra Hueller, Sandra Hüller, Imogen Kogge, Imogen Kog, Burghart Klaussner, Anna Blomeier, Karl Klinger, Nicholas Reinke, Jens Harzer, Walter Schmidinger, Friederike Adolph, Irene Kugler, Johann Adam Oest, Eva Loebau, Eva Löbau",2006-10-20,2007-03-06,92,IFC First Take,Fresh,86,35,66,4728
Gui si (Silk),"The ghost of a young boy haunts a Taipei apartment block in Better Than Sex director Su Chao-pin's urban spook story. Hashimoto (Yosuke Eguchi) is a paranormal investigator who uses an anti-gravitational device called the Menger Sponge to trap wayward spirits. Upon exploring a haunted Taipei apartment complex, Hashimoto and his crew capture the specter of a young boy who apparently perished under mysterious circumstances. When Hashimoto brings local policeman Yi Chi-tung in to help identify the boy, jealous ghost hunter Su Yuen (Barbie Hsu) makes a tragic attempt to steal the ghost that leaves Yi free to release and follow the spirit. As Yi's turbulent past slowly begins to come into focus, another, more malevolent supernatural force somehow related to the boy threatens to rain doom down on all involved in the investigation. ~ Jason Buchanan, Rovi",,PG-13,"Art House & International, Horror, Mystery & Suspense",Chao-Bin Su,,"Chen Chang, Yosuke Eguchi, Kar Yan Lam, Barbie Hsu, Chen Po-Lin, Chun-Ning Chang, Fang Wen, Chen Kuan-po",2006-05-24,2007-06-12,117,,Rotten,40,5,58,2530
Park,"Set during one afternoon at a Los Angeles, this edgy ensemble sex comedy was the feature debut of director Kurt Voelker. Starring William Baldwin, Ricki Lake, and Cheri Oteri, Park intertwines the lives of several unsuspecting people, including a suicidal woman, a philandering lawyer, his snooping wife, a pair of dog groomers, and a van of aspiring nudists.",,R,"Art House & International, Comedy, Drama",Kurt Voelker,Kurt Voelker,"William Baldwin, Ricki Lake, Dave Fenner, Cheri Oteri, Melanie Lynskey, Izabella Miko, Anne Dudek, Trent Ford, Maulik Pancholy, David Fenner, Dagney Kerr, Anthony 'Treach' Criss, Francesco Quinn, Alfred Woodley, Joel J. Edwards, Imelda Corcoran",2006-06-12,2008-05-20,97,Mello Pictures,Rotten,36,11,48,684
The 4th Dimension,"Though born a prodigy, with a frighteningly intuitive grasp of biology and physics, Jack (Louis Morabito) grew up in an environment that offset the advantage of his intellectual gifts. He suffered from a deeply troubled, issue-ridden childhood, largely thanks to a dysfunctional relationship with his ailing mother (Karen Peakes), then turned an even darker corner early in life when greeted by a traumatic vision that threatened to warp his mind and left him with seemingly permanent Obsessive-Compulsive Disorder. Now, a mid-adolescent Jack has become a severe underachiever; he spends his extracurricular time working in an antique shop and fixing clocks. When he discovers one of Albert Einstein's journals hidden inside one of the clocks, Jack reads the contents and reasons that sleep may function as a doorway to a parallel dimension. He is subsequently pulled into a proverbial netherworld, full of symbolic visions of repressed memories. But just as Jack believes that he has discovered a gateway to another plane of existence, the visions that surround him gradually illustrate his progressive mental breakdown and pull Jack into an inescapable black hole of psychosis.",,NR,"Drama, Science Fiction & Fantasy","Tom Mattera, Dave Mazzoni","Tom Mattera, Dave Mazzoni","Louis Morabito, Miles Williams, Karen Peakes, Kate LaRoss, Suzanne Inman, Louis Lippa",2006-04-01,2008-04-08,82,,Fresh,63,8,31,394
"Bon Cop, Bad Cop","When a crime is committed on the border of Quebec and Ontario, everyone is forced to come together, whether they want to or not. As the investigation gets underway, we meet David Bouchard and Martin Ward, members of their respective provincial police forces who are forced to work together. The two men couldn't be more different. In fact, the only thing they appear to have in common is that they are both cops, albeit cops with totally different styles.",,R,"Action & Adventure, Comedy",Eric Canuel,"Leila Basen, Alex Epstein, Patrick Huard, Kevin Tierney","Patrick Huard, Colm Feore, Lucie Laurier, Sarah-Jeanne Labrosse, Sarain Boylan, Michel Beaudry, Patrice Bélanger, Patrice Bélanger, Sylvain Marcel, Hugolin Chevrette, Hugolin Chevrette-Landesque, Pierre Lebeau, Nanette Workman, Ron Fournier, Louis-José Houde, Ron Lea, Rick Mercer, Rick Howland, André Robitaille, Gilles Renaud, Jayne Heitmeyer, Robert Jadah, Erik Knudsen, Robert Montcalm, Sharlene Royer, Martin Thibaudeau, Tim Wheaton",2006-07-04,2008-05-13,116,Vivafilm,Fresh,78,9,82,20397
Amazing Grace,"One man's role in the long battle to outlaw slavery in the United Kingdom sets the stage for this historical drama from director Michael Apted. In 1784, 21-year-old William Wilberforce (Ioan Gruffudd) was elected to the British House of Commons, and soon established himself as a politician with a conscience. Several years later, his close friend William Pitt (Benedict Cumberbatch) became prime minister, and together they made a bold plan to introduce a bill banning slavery before the English legislature. Wilberforce was aided by anti-slavery activists Olaudah Equiano (Youssou N'Dour) and Thomas Clarkson (Rufus Sewell); however, pro-slavery hard-liners Lord Tarleton (Ciarán Hinds) and the Duke of Clarence (Toby Jones) spearheaded a hard-fought opposition to the legislation, and despite Wilberforce's best efforts, his bill went down in defeat. In 1797, Wilberforce left politics due to poor health and a battered spirit; staying at the country home of his friends Henry and Marianne Thornton (Nicholas Farrell and Sylvestra Le Touzel), he became acquainted with Barbara Spooner (Romola Garai), a beautiful woman with progressive views. Spooner became deeply infatuated with Wilberforce, and she encouraged him not to give up on his noble goals; with her help, Wilberforce launched a second campaign to persuade England's lawmakers to end the slave trade. Amazing Grace made its North American premiere as the closing-night gala attraction at the 2006 Toronto Film Festival. ~ Mark Deming, Rovi","Amazing Grace is your quintessential historical biopic: stately, noble, and with plenty of electrifying performances.",PG,"Drama, Mystery & Suspense",Michael Apted,Steven Knight,"Ioan Gruffudd, Romola Garai, Michael Gambon, Benedict Cumberbatch, Albert Finney, Youssou N'Dour, Rufus Sewell, Ciarán Hinds, Toby Jones, Nicholas Farrell, Sylvestra Le Touzel, Jeremy Swift, Stephen Campbell Moore, Bill Paterson, Ramola Garai, Tom Fisher, Nicholas Woodeson, Richard Ridings, Adam Woodroffe, Neville Phillips, Eki Maria, Daniel Naprous, Joseph Traynor, Harry Audley, Simon Delaney, Chris Barnes, Tom Knight, Peter White, Nicholas Day, Georgie Glen, David Hunt, David Toole, Andrew Neil, Angie Wallis, Estelle Morgan, Philip Dunbar, Alex Blake, Andrew Whipp, Nicolas Dodd",2007-02-23,2007-11-13,116,Samuel Goldwyn Films LLC,Fresh,68,125,85,54304
The Silence,"A cop haunted by an accidental killing begins looking into a murder case that's nearly 40 years old in this crime drama from Australian director Cate Shortland. Richard Treloar (Richard Roxburgh) is a police detective who is thrown into an emotional tailspin after a shooting incident. When Treloar has trouble handling his responsibilities, he's reassigned to the police force's museum, where he's to help curate a photography exhibit. While going though prints for the upcoming show, Treloar notices an attractive blonde woman keeps popping up in pictures from the mid-'60s, ending with a crime-scene photo of her after she was shot to death. Treloar becomes curious about who she was and what became of her, and discovers her murder was never solved, prompting him to begin looking into the case. Meanwhile, Treloar's emotional problems and new obsession with the mysterious blonde lead to serious problems in his relationship with his girlfriend, Helen (Alice McConnell), which only get worse when he becomes infatuated with his psychiatrist (Essie Davis). The Silence was originally produced for Australian television, but its success with both audiences and critics led to a subsequent theatrical release; the film had its North American premiere at the 2006 Toronto Film Festival. ~ Mark Deming, Rovi",,R,"Action & Adventure, Drama, Mystery & Suspense, Television",Cate Shortland,,"Richard Roxburgh, Essie Davis, Alice McConnell, Emily Barclay, Damian De Montemas, Jennifer Hagan, Joel Tobeck, Olivia Stambouliah, Skye Wansey, Tony Barry, Toni Barry",,2009-08-25,104,,Rotten,50,6,38,374
Cocaine Cowboys,"When brutal Colombian cocaine lords moved to Miami in the early '80s, they brought with them a form of decadence, drugs and debauchery that hadn't been seen since the Prohibition days. This stylized, high-energy film reveals how Miami went from a sleepy southern city to a drug-and-murder capital, as told by the people who put the vice in ""Miami Vice.""","As frenetic, thrilling, and lacking in subtletly as its drug of focus...and just as likely to prompt some hard questions after it's gone.",R,Documentary,Billy Corben,,"Jon Roberts, Mickey Munday, Jorge ""Rivi"" Ayala, Dr. Joseph Davis, Sgt. Al Singleton",2006-10-27,2007-01-23,118,Magnolia Pictures,Fresh,69,51,79,77109
Gone,"The Ringan Ledwidge-directed, Andrew Upton and James Watkins-scripted psychological thriller Gone (a U.S.-British-Australian co-production) follows in the footsteps of such shockers as The Company of Strangers and Kalifornia, as several innocent, unwitting young travelers inadvertently find themselves at the mercy of a psychotic outsider who poses as a Good Samaritan. The story unfolds in the Australian outback, with Alex (Shaun Evans) en route to visit his girlfriend Sophie (Amelia Warner) in Byron. His intended plans take an unexpected left turn, however, when he misses his bus and accepts the offered assistance of another traveler, the seemingly benign American Taylor (Scott Mechlowicz). The men agree to spend the evening together and partake in a night of drunken excess with several women, but the next morning, Taylor takes a potentially incriminating Polaroid of Alex in bed with one of the girls. He nonetheless assures Alex that he has destroyed it, which assuages Alex's fears temporarily. When the men decide to remain together and travel across the outback with Sophie and her friend Ingrid, however, signs of duplicitous and shady behavior emerge from Taylor - including his overt sexual interest in Sophie, the threatening resurgence of the Polaroid, and Ingrid's sudden, inexplicable disappearance.",,R,"Horror, Mystery & Suspense",Ringan Ledwidge,"James Watkins, Andrew Upton","Scott Mechlowicz, Tony Barry, Amelia Warner, Shaun Evans, Victoria Thaine, Zoe Tuckwell-Smith, Yvonne Strahovski, Yvonne Strzechowski, Zander Hey",2007-03-09,2005-01-25,88,United International,Rotten,54,13,20,3327
The Situation,"The war in Iraq provides the backdrop for this story of personal and political chaos from British filmmaker Philip Haas. Anna (Connie Nielsen) is an American journalist covering the fighting in Iraq in 2003. American forces have removed Saddam Hussein from power, but violence remains widespread on both sides, and many of the criminals and opportunists who attached themselves to Hussein's regime are scrambling for position under the American-authorized government. Anna has friends and allies on both sides of the conflict, and is romantically involved with two men -- Dan (Damien Lewis), a CIA operative who believes the future of Iraq depends on Americans working with moderate Iraqis and rebuilding the damage done in the war (beliefs that run counter to those of his superiors), and Zaid (Mido Hamada), a photographer from Iraq who is eager to leave his battered country behind and start a new career in the West. As Anna's loyalties are torn between these two men and their differing perspectives on Iraq, a scandal polarizes the nation when two Iraqi children are found dead after having been thrown off a bridge by American soldiers. The Situation was written by Wendell Steavenson, a former journalist who was inspired to write the script by her own experiences covering the Iraq war.",An ambitious but preachy drama that fails to convincingly parcel its thriller and romance elements.,R,"Drama, Mystery & Suspense",Philip Haas,Wendell Steavenson,"Connie Nielsen, Damian Lewis, Mido Hamada, John Stattery, Driss Roukhe, Nasser Memarzia, Said Amadis, Omar Berdouni, Chérine Amar, Shaun Evans, Tom McCarthy, Mahmoud El Lozy, Mahmoudi M'Barek, John Slattery, Peter Eyre, Fatiha Watili, Hamid Basket",2006-10-18,2007-07-31,106,Shadow Distribution,Rotten,35,48,58,2381
Snow Blind,"When snowboarding first appeared on the winter sports scene, it was regarded as a novelty by many who saw it as the snowbound equivalent of skateboarding. But just as skateboarding grew from a pastime for rebels and punk rockers into the vanguard event of the extreme sports revolution and the hobby of millions, snowboarding has done the same for winter athletics, and its introduction at the Winter Olympics has allowed it to become one of the first sports to move from the ""extreme"" underground to acceptance by the mainstream sporting community. Snow Blind is a documentary which examines the past and present of snowboarding, as some of the world's leading boarders and key behind-the-scenes figures talk about the history and philosophy behind the sport, as well as showing off some of their most spectacular moves on the powder. Snow Blind includes footage of Kier Dillon, Abe Teter, Steve Hayes, Molly Aguirre, Brent Meyer, Luke Mitrani, Kimmy Fasani, Sherman Poppen, and many more.",,NR,"Documentary, Sports & Fitness",Christopher J. Scott,,"Lindsey Jacobellis, Lindsey Jacobellis, Molly Aguirre, Sherman Poppen, Jeff Meyer, Bibian Mentel, Steve Hayes, Jesse Horn, Jeff Meyer, Banana George, JJ Thomas, Steve Fisher, Ross Powers, Abe Teter, Lucas Grossi, Tyler Mosher, Keir Dillon, Steve Fisher, Elijah Teter, Hannah Teter, Luke Mitrani",2006-12-01,2007-06-05,92,Matson Films,Rotten,20,5,,
Four Sheets to the Wind,"Sterlin Harjo's gentle coming-of-age drama Four Sheets to the Wind opens in the hamlet of Holdenville, Oklahoma, where a young Native American man, Cufe Smallhill (Cody Lightning of Smoke Signals), discovers his father's dead body. His dad's last wish, it seems, was to be buried in the local pond. Cufe fulfills this request, packs his bags, and heads off to the metropolis of Tulsa, where he sets about building a new life for himself. Above and beyond its dramatic, narrative and aesthetic strengths, Harjo's film retains enormous sociocultural interest as one of the few films by, about, and starring American Indians - a rare feature to concern itself with contemporary Indian lifestyles in lieu of dramatizing Native American histories. Tamara Podemski co-stars as Cufe's sister Miri. ~ Nathan Southern, Rovi",,R,"Art House & International, Drama",Sterlin Harjo,Sterlin Harjo,"Cody Lightning, Jeri Arredondo, Tamara Podemski, Laura Bailey, Richard Ray Whitman, Jon Proudstar, Darryl Cox, Mark Loftis, Bill Poague, Jim Kirkland, Mike Randleman, Christian Kane, Mary Neff",2007-01-22,2007-11-06,81,First Look Home Entertainment,Fresh,100,7,61,519
The Tiger's Tail,"""The Tiger's Tail"" is a black comedy thriller about a successful businessman in contemporary boom-time, ""Celtic Tiger"" Ireland, whose life begins to unravel when he encounters his doppelganger. The film tells the story of Liam O'Leary an Irish property developer of humble origins who has made it big and fast on the back of the Celtic Tiger. His hubris has led him into a scheme to build a national stadium but a rival developer has connived to thwart his plans. Wildly over-extended, Liam finds himself struggling in a receding market. Stressed and over-stretched, he seems on the verge of a mental breakdown, to his horror, he sees his DOUBLE. Is this a harbinger of his death? His neglected wife, Jane is distressed by his erratic behavior and treats his claim to have seen his Double as a hallucination. He confronts his Double and discovers a shocking truth that makes him ask the question ""Who Am I?""",,R,"Comedy, Drama, Mystery & Suspense",John Boorman,John Boorman,"Brendan Gleeson, Kim Cattrall, Ciarán Hinds, Ciarin Hinds, Sinead Cusack, John Kavanagh, Ruth McCabe, Sean McGinley, Cathy Belton, Brian Gleeson, Angeline Ball, Stanley Townsend, Moira Deady, Michael McElhatton, Michael Fitzgerald, Denis Conway, Charlene McKenna, Tom Vaughan-Lawlor, Ruth Lawlor, Eanna MacLiam, Conor Mullen, Regan O'Brien, Derry Power, Ned Dennehy, Gary Murphy, David Herlihy, Martin Murphy, Mark Lambert, Philip O'Sullivan, Paolo Tullio, Aonghus Og McAnally, Nigel Linden, Geoff Minogue, Frank Gleeson, Mark Armstrong",2006-09-26,2009-08-11,106,Buena Vista,Rotten,14,21,31,658
It's a Boy Girl Thing,"Two kids with nothing in common are brought together in a very unexpected way in this comedy. Nell (Samaire Armstrong) is a pretty but hopelessly geeky teenage girl who loves Shakespeare and wants little more than to study literature at Yale when she graduates from high school in a few months Woody (Kevin Zegers), who lives next door, is the quarterback on the school's football team, and seems like a sure bet to land a lucrative football scholarship despite the fact he isn't especially bright. Nell and Woody are not at all friendly and normally have nothing to say to one another, but one day during a class field trip to a historical museum, the two fall under the spell of an Incan icon and when they awake the next morning, Woody's mind is in Nell's body, and vice versa. Neither is comfortable with their sudden gender switch or having to assume the other's personalities, but they quickly realize that until they can find a way to reverse the spell, they have to work together if Nell is to go to Yale and Woody is to get his scholarship and move away from this loutish parents (Sharon Osborne and Maury Chaykin. Elton John was an executive producer on It's A Boy Girl Thing, and songs from his back catalog appear on the soundtrack. ~ Mark Deming, Rovi",,PG-13,"Comedy, Romance",Nick Hurran,,"Kevin Zegers, Samaire Armstrong, Mpho Koaho, Sharon Osbourne, Brooke D'Orsay, Emily Hampshire, Robert Joy, Sherry Miller, Genelle Williams, Kathryn Haggis, Maury Chaykin, Dan Warry-Smith, Balazs Koos, Alex Nussbaum, Jack Duffy, John Bregar, David Ndaba, Robert James Ramsey, Michael Lazarovitch, Roman Podhora, Brandon Carrera, Adrian Roberto, Justin Tensen, Shane Daly, Jennifer Markowitz, Snow Ellen-Ray, Richard Fitzpatrick",2006-12-26,2008-06-17,95,Anchor Bay Entertainment,Fresh,67,9,61,30366
Slipstream,"Aging screenwriter Felix Bonhoeffer has lived his life in two states of existence--the world of reality and the world inside his head. Hired to rewrite a murder mystery set in a desert diner and unaware that his brain is on the verge of implosion, Felix is politely baffled when the characters from his movie start showing up in his life and vice versa. Felix tries to maintain his equanimity as reality and fantasy collide in an increasingly whirling slipstream, while his memory banks fire off seemingly random references to songs and sci-fi movies from the Fifties.",Slipstream is a failed experiment; confusing instead of coherent.,R,"Art House & International, Comedy, Drama, Science Fiction & Fantasy",Anthony Hopkins,Anthony Hopkins,"Anthony Hopkins, Gavin Grazer, Stella Arroyave, Christian Slater, John Turturro, Camryn Manheim, Michael Clarke Duncan, Kevin McCarthy, Jeffrey Tambor, S. Epatha Merkerson, Gene Borkan, Fionnula Flanagan, Lisa Pepper, Christopher Lawford, Gena Rowlands, William Lucking, Lana Antonova, Aaron Tucker, Michael Lerner",2007-10-26,2008-02-26,96,Strand Releasing,Rotten,25,40,29,3520
Delirious,"Small time celebrity photographer Les Galantine has a big mouth and big dreams, but he can't quite talk himself into the right parties to get that one great exclusive photo. He meets Toby, a homeless kid who is drawn to the bright lights of New York City and ""hires"" him as his assistant. Les pays Toby nothing but room and board but the two are drawn to each other and become friends. Although Toby enjoys the glamour and excitement of Les' lifestyle, he has dreams of his own--to become an actor. Luck intervenes for Toby when he accidentally meets K'Harma Leeds, a beautiful pop diva. As their unlikely love blossoms Toby finds himself torn between a chance to follow his dream and to fulfill his obligations to Les. This conflict deepens when Toby leaves Les and lands a part on a reality show, partly by sleeping with the show's casting director Dana. As Toby's fortunes continue to rise, Les tries to reach out, while also maintaining a bitter resentment toward his former protégé.","A funny, energetic satire of the paparazzi life and the entertainment industry, Delirious is another winner for indie helmer Tom DiCillo.",NR,"Comedy, Drama",Tom DiCillo,Tom DiCillo,"Steve Buscemi, Michael Pitt, Alison Lohman, Gina Gershon, Callie Thorne, Kevin Corrigan, Elvis Costello, Richard Short, Tom Aldredge, Peter Appel, Doris Belack, Lynn Cohen, Marcus Collins, Joe D'Onofrio, Minnie Driver",2007-08-15,2008-05-06,107,Peace Arch Films,Certified Fresh,82,60,57,8462
Interview,"A top political journalist, whose career is fading, has a falling out with his editor, and then, against his will, he has to interview the country's most popular soap actress.",Captivating performances from Steve Buscemi and Sienna Miller make a seemingly simple premise gripping and entertaining.,R,"Art House & International, Drama",Steve Buscemi,"Steve Buscemi, David Schechter","Sienna Miller, Steve Buscemi, Michael Buscemi, Tara Elders, David Schecter, Molly Griffith",2007-07-13,2007-12-11,84,Sony Classics,Rotten,58,125,55,25856
American Anthem,"In a film that will probably appeal mostly to those who like gymnastics, American Anthem is about a gymnast struggling to find inspiration while attempting to deal with his family problems. After falling for a female gymnast, he finds the inspiration he needs to succeed, and the two train for the Olympics together.",,PG-13,"Action & Adventure, Documentary, Drama",Albert Magnoli,"Evan Archerd, Albert Magnoli, Jeff Benjamin","Mitch Gaylord, Janet Jones, John Aprea, Michelle Phillips, Tiny Wells, Michael Pataki, Patrice Donnelly, R.J. Williams, Katherine Gosney, Stacy Maloney, Peter Tramm, Rosemary Forsyth, Googy Gress, Maria Anz, Jenny Ester, Andrew M. White, Popeye the Dog, Dick McGarvin, Mark Oates, Jan Claire, Megan Marsden, Li Yuejiu, Bruce Burns, Lisa Marie Campos, Bob Gauthier, Lisa Green, Chris Riser, Lyn Schmitt, Kent Weaver, Stephen Elliott, Tim Darling, Jody Raymond, Matt Arnot, Jeff Richards, Scott Barclay, Mike Bowers, Tony Russo, Phillippe Chartrand, Mike Sims, Glen Cooper, John Eccelston, Mark Ewers, Brett Finch, Doug Foerch, Steve Friedman, Rick Hall, Paul Hartman, Celeste Kelty, Tom Kennedy, Jeff Knepper, John Levy, Wes Lewis",1986-06-01,2005-06-21,110,Lorimar Home Video,Rotten,0,16,65,1341
